Area,Bedrooms,Sales,Price,PΔ1M,PΔ1Q,PΔ6M,PΔ1Y,PΔ3Y,PΔ5Y,PΔ10Y,Rentals,Rent,RΔ1M,RΔ1Q,RΔ6M,RΔ1Y,RΔ3Y,RΔ5Y,RΔ10Y,Yield,CG Low,CG High,ROI Low,ROI High,Rent Increase,Volatility Index,Growth Rate,GRC Index,GRC Minima,GPD 3Y,GPD 5Y,GPD 10Y,GSP 3Y,GSP 5Y,GSP 10Y,future_metric_01,future_metric_02,future_metric_03,IRSAD,RO Ratio,UHV Ratio,UH Ratio,Affordability Index,SoM%,SoM LS,SoM SS,Inventory,Inventory LS,Inventory SS,Hold Period,HP LS,HP SS,BA Ratio,future_metric_04,future_metric_05,DoM,DoM LS,DoM SS,Discounting,Vacancy Rate,VR LS,VR SS,Clearance Rate,CR LS,CR SS,Auctions,Buy SI,Buy SI LS,Buy SI SS,Rent SI,Rent SI LS,Rent SI SS,future_metric_06,future_metric_07,Confidence,Sales Ratio,Rentals Ratio,Population,Dwellings,School Rank,Infra. Spend,future_metric_15,future_metric_16,EDI,MADI,Flood,Bushfire,Lower Risk,Cashflow,Capital Growth,Overall RCS,Nearest GPO,SA4,GCC,State,lga_pid,Data Level,Confidence.1,Property Type,15_Main Dashboard - HtAG Analytics (3).xlsx
"Woodcroft, NSW 2767",All,3,1162515,0.0025,0.0053,0.0063,0.0268,0.1162,0.5571,0.7154,7,650,0.0,-0.0015,-0.0015,0.0204,0.2573,0.2922,0.332,0.0291,-0.06,0.14,-0.03,0.17,0.0015,6,(+)Increasing,206,-0.0342,-0.1463,0.1241,-0.2665,-0.0151,-0.0084,-0.1164,0,0,0,9,0.2,0.0,0.0,46.81,0.0009,-0.0005,-0.0007000000000000001,0.28,-0.11,-0.33,10.11,1.26,-1.44,0.0014,0,0,29,-3.61,4.35,0.0,0.0285,-0.0062,0.0019,0.0,-0.0461,-0.1,2,4,-0.04,0.0,4,0.22,-0.33,0,0,Medium,0.03,0.05,6597,2094,54,57,0,0,78,100,100,100,81,37,93,70,33,Sydney - Blacktown,Greater Sydney,NSW,NSW283,Suburbs,2,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Waverton, NSW 2060",All,0,1359169,0.002,0.0037,0.0018,0.008100000000000001,0.0038,0.1148,0.3347,13,776,-0.0026,-0.0051,-0.0115,0.0091,0.2056,0.1604,0.2189,0.0297,-0.02,0.09,0.01,0.12,-0.0136,4,(+)Increasing,176,-0.0336,-0.1127,-0.08779999999999999,-0.4147999999999999,-0.0658,-0.1087,-0.1858,0,0,0,10,0.47,0.33,0.79,34.63,0.0014,-0.0005,0.0001,0.57,-0.16,0.06,12.52,1.86,0.73,0.0017,0,0,28,-0.81,2.84,0.0,0.0168,-0.0066,0.0014,0.6667000000000001,-0.0252,0.0,4,7,0.38,0.41,7,0.47,0.12,0,0,Medium,0.02,0.1,2981,1645,68,1356,0,0,79,100,100,100,58,4,93,52,3,Sydney - North Sydney and…,Greater Sydney,NSW,NSW213,Suburbs,2,Units,2_Main Dashboard - HtAG Analytics (3).xlsx
"Vaucluse, NSW 2030",All,3,1484889,0.0026,0.0062,0.0104,0.0254,0.0508,0.2233,0.4963,17,969,0.0031,0.009300000000000001,0.0318,0.1008,0.3153,0.3671,0.4551,0.0339,-0.01,0.08,0.02,0.11,0.0385,3,(+)Increasing,182,-0.0474,-0.1109,-0.0142,-0.2347,-0.0658,-0.0667,-0.1678,0,0,0,10,0.24,0.32,0.42,31.88,0.0026,-0.0002,-0.0003,0.79,-0.05,-0.19,6.94,0.84,-0.09,0.0012,0,0,50,6.61,7.83,0.0,0.024,-0.0023,-0.005699999999999999,0.741,-0.0786,-0.0215,8,5,0.04,-0.04,4,-0.16,0.23,0,0,Medium,0.02,0.05,9510,4293,66,237,0,0,81,100,100,100,95,29,93,72,7,Sydney - Eastern Suburbs,Greater Sydney,NSW,NSW175,Suburbs,2,Units,2_Main Dashboard - HtAG Analytics (3).xlsx
"Pymble, NSW 2073",All,2,3489931,0.0032,0.0077,0.0122,0.0263,0.07429999999999999,0.41,0.8226,7,1177,0.0008,0.0017,0.0051,0.0164,0.1448,0.2585,0.3133,0.0175,-0.05,0.12,-0.03,0.14,0.0089,5,(+)Increasing,182,-0.019,-0.1917,-0.0326,-0.3648,0.0489,0.0416,0.0933,0,0,0,10,0.21,0.36,0.32,90.94,0.0019,-0.0005,-0.0007000000000000001,0.52,-0.02,-0.16,11.19,1.82,0.12,0.0103,0,0,46,6.25,6.24,0.0,0.0305,-0.0069,-0.0019,0.5682,-0.1366,0.0278,8,4,0.32,-0.12,5,0.24,-0.04,0,0,High,0.03,0.02,11775,4776,67,3233,0,0,81,100,99,100,90,19,93,67,15,Sydney - North Sydney and…,Greater Sydney,NSW,NSW258,Suburbs,3,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Beecroft, NSW 2119",All,1,2742884,0.0037,0.0104,0.0185,0.0392,0.1342,0.4953,0.7839,6,928,0.0,-0.0011,0.0022,0.038,0.2507,0.3107,0.2889,0.0176,-0.05,0.12,-0.03,0.14,0.0032,5,(+)Decreasing,162,-0.051,-0.132,0.0229,-0.3026,0.0609,0.0003,-0.0004,0,0,0,10,0.17,0.37,0.17,81.42,0.0019,-0.0001,-0.0005,0.62,-0.02,-0.13,13.42,2.02,0.29,0.016,0,0,51,4.77,9.86,0.0,0.0179,-0.004699999999999999,-0.0059,0.6667000000000001,-0.0118,-0.1168,4,4,0.36,-0.23,4,0.21,0.0,0,0,High,0.03,0.02,10291,3583,73,374,0,0,81,100,99,100,89,21,93,68,19,Sydney - Parramatta,Greater Sydney,NSW,NSW234,Suburbs,3,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Beaumont Hills, NSW 2155",All,8,1922148,0.0014,0.0013,-0.006500000000000001,0.0025,0.065,0.5805,0.8418000000000001,6,864,0.0012,0.0012,-0.0012,0.0141,0.22,0.3308,0.2891,0.0234,-0.06,0.14,-0.04,0.16,0.0195,6,(+)Increasing,166,-0.0301,-0.2468,0.0291,-0.4249,-0.004699999999999999,0.0293,0.0053,0,0,0,10,0.16,0.0,0.0,57.47,0.0026,-0.0003,-0.0003,0.83,-0.02,-0.06,10.54,1.62,0.36,0.0,0,0,46,4.97,4.98,0.0,0.0163,0.0013,-0.0022,0.0,-0.0018,0.0,2,4,0.1,-0.04,4,0.11,-0.04,0,0,High,0.04,0.03,9041,2730,65,4083,0,0,90,100,100,100,97,23,93,71,31,Sydney - Baulkham Hills a…,Greater Sydney,NSW,NSW270,Suburbs,3,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Leichhardt, NSW 2040",All,2,932983,0.0049,0.0153,0.0353,0.0768,0.0843,0.2062,0.2773,33,749,0.0,0.0013,0.0108,0.052,0.2869,0.2339,0.3495,0.0417,0.0,0.07,0.04,0.11,0.0146,3,(+)Decreasing,164,-0.0587,-0.0181,0.029,-0.3352000000000001,-0.07339999999999999,-0.1055,-0.162,0,0,0,10,0.4,0.42,0.25,26.31,0.0016,-0.0002,-0.0016,0.51,-0.16,-0.49,8.81,1.05,0.27,0.0,0,0,44,-0.05,9.52,0.0,0.0207,-0.006,0.0036,0.7006,-0.0313,-0.0694,17,5,0.28,-0.08,6,0.24,0.21,0,0,High,0.01,0.05,15158,8498,65,587,0,0,81,100,94,100,86,33,93,71,5,Sydney - Inner West,Greater Sydney,NSW,NSW331,Suburbs,3,Units,2_Main Dashboard - HtAG Analytics (3).xlsx
"Holsworthy, NSW 2173",All,0,1262903,0.0039,0.0126,0.0249,0.0555,0.1976,0.5738,0.9246,9,721,0.0014,0.005600000000000001,0.0198,0.0825,0.2847,0.37,0.4765,0.0297,-0.05,0.13,-0.02,0.16,0.0151,5,(+)Decreasing,204,-0.0488,-0.1019,0.08539999999999999,-0.2262,0.1889,0.1657,0.3112,0,0,0,10,0.33,0.0,0.0,46.48,0.0018,-0.0005,-0.0008,0.63,-0.07,-0.26,13.04,2.14,1.61,0.0129,0,0,19,-6.6,0.39,0.0,0.0492,0.0035,0.005,0.0,0.0,0.0,2,3,-0.32,0.0,5,0.34,0.0,0,0,Medium,0.02,0.07,5657,1682,62,1387,0,0,80,100,100,100,80,30,93,68,35,Sydney - Outer South West,Greater Sydney,NSW,NSW298,Suburbs,2,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Barden Ridge, NSW 2234",All,0,1797355,0.003,0.0072,0.0107,0.0274,0.095,0.5254,0.7293999999999999,2,1179,0.0025,0.0198,0.0824,0.2198,0.3955,0.4757,0.5760000000000001,0.0341,-0.05,0.12,-0.01,0.15,0.0305,5,(+)Trough,178,-0.0687,-0.1645,0.0828,-0.2786,0.0863,0.1173,0.116,0,0,0,10,0.06,0.0,0.0,55.95,0.002,-0.0002,0.0004,0.78,-0.05,0.12,14.06,2.0,1.37,0.0007000000000000001,0,0,30,3.47,3.13,0.0,0.07139999999999999,0.0119,0.0046,0.0,0.0,0.0,0,5,0.25,0.12,5,-0.04,-0.06,0,0,Medium,0.03,0.02,4129,1599,62,97,0,0,81,100,98,100,91,36,93,73,26,Sydney - Sutherland,Greater Sydney,NSW,NSW298,Suburbs,2,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Freshwater, NSW 2096",All,2,1125855,0.004,0.0108,0.0192,0.04219999999999999,0.0741,0.4184,0.867,28,910,0.0,0.0022,0.0122,0.06309999999999999,0.2415,0.3522,0.5294,0.042,-0.04,0.12,0.0,0.16,0.033,5,(+)Decreasing,186,-0.0213,-0.16,-0.0033,-0.2021,0.06309999999999999,0.1073,0.1066,0,0,0,10,0.37,0.3,0.64,32.51,0.0011,-0.0004,-0.0002,0.34,-0.05,-0.1,8.79,1.46,-0.12,0.0014,0,0,37,4.11,6.33,0.0,0.0132,-0.0034,0.0008,0.0,-0.1173,-0.0197,2,6,0.54,0.31,5,0.23,0.0,0,0,High,0.03,0.09,9186,4336,62,879,0,0,81,100,96,100,89,74,93,85,12,Sydney - Northern Beaches,Greater Sydney,NSW,NSW329,Suburbs,3,Units,2_Main Dashboard - HtAG Analytics (3).xlsx
"Greenwich, NSW 2065",All,0,1044573,0.0049,0.0152,0.0333,0.0684,0.1213,0.2564,0.4086,12,750,-0.0013,-0.004,-0.0053,0.0303,0.3544,0.2219,0.2695,0.0373,-0.01,0.08,0.02,0.12,0.0257,3,(+)Decreasing,202,-0.0217,-0.0101,0.0517,-0.1732,-0.0115,-0.0876,-0.098,0,0,0,10,0.31,0.25,0.49,25.35,0.0008,-0.0003,-0.0006,0.29,-0.18,-0.17,7.43,1.37,-0.78,0.1232,0,0,25,-0.25,-0.38,0.0,0.0265,-0.0029,0.0019,0.0,-0.0943,-0.2222,1,6,0.23,0.33,6,0.35,0.33,0,0,Medium,0.02,0.06,5469,2797,72,375,0,0,79,100,100,100,79,14,93,62,5,Sydney - North Sydney and…,Greater Sydney,NSW,NSW177,Suburbs,2,Units,2_Main Dashboard - HtAG Analytics (3).xlsx
"Balmain East, NSW 2041",All,0,3157370,0.0015,0.0038,0.0051,0.008100000000000001,0.0396,0.1275,0.3522999999999999,2,1222,0.0008,0.0008,-0.0097,-0.0934,0.1356,0.0842,0.3308,0.0201,-0.01,0.07,0.01,0.09,0.0146,2,(+)Trough,214,0.009899999999999999,-0.08130000000000001,-0.0742,-0.1732,0.0548,-0.145,-0.2739,0,0,0,10,0.41,0.57,0.36,66.6,0.0027,-0.0001,-0.0003,0.89,0.07,-0.31,9.64,2.01,2.59,0.0,0,0,31,5.51,-9.39,0.0,0.0046,-0.0049,0.0013,0.0,0.0,0.0,2,5,0.25,0.0,5,-0.04,0.29,0,0,Low,0.02,0.02,1900,1074,67,496,0,0,80,100,100,100,68,21,93,61,2,Sydney - Inner West,Greater Sydney,NSW,NSW331,Suburbs,1,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Erskineville, NSW 2043",All,2,1024330,0.0048,0.0119,0.0271,0.06059999999999999,0.1312,0.2377,0.4505,45,968,0.0031,0.0104,0.0286,0.0717,0.3619,0.2947,0.4032,0.0491,-0.01,0.07,0.04,0.12,0.0375,3,(+)Decreasing,216,-0.0022,0.0036,0.0161,-0.1948,0.0731,0.0678,0.0474,0,0,0,10,0.53,0.52,0.68,26.63,0.0019,-0.0018,-0.0012,0.5,-0.4,-0.37,8.41,0.95,0.51,0.0,0,0,31,-1.52,6.03,0.0,0.0195,-0.0058,0.0015,0.6396999999999999,-0.0239,-0.0834,11,6,0.56,-0.02,7,0.49,-0.08,0,0,High,0.03,0.1,9657,5950,65,681,0,0,79,100,86,100,72,66,93,77,4,Sydney - City and Inner S…,Greater Sydney,NSW,NSW200,Suburbs,3,Units,2_Main Dashboard - HtAG Analytics (3).xlsx
"Crows Nest, NSW 2065",All,2,2915004,0.0018,0.004099999999999999,0.0003,0.0167,0.0478,0.2688,0.8301000000000001,7,1209,0.0008,0.0033,0.0083,0.0142,0.0476,0.1458,0.2657,0.0216,0.0,0.08,0.02,0.1,0.0152,3,(+)Increasing,226,-0.0023,-0.1752,-0.1732,-0.3693,0.0172,0.1007,0.2605,0,0,0,10,0.54,0.35,0.67,74.86,0.0018,-0.0005,0.0001,0.67,-0.08,0.06,11.78,1.35,0.52,0.0,0,0,28,4.94,2.06,0.0,0.0143,-0.005500000000000001,-0.0018,0.8571,0.04480000000000001,0.0,7,6,-0.13,0.06,5,0.22,0.0,0,0,Medium,0.01,0.03,4974,3623,96,868,0,0,79,100,92,100,46,28,93,56,5,Sydney - North Sydney and…,Greater Sydney,NSW,NSW213,Suburbs,2,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Cremorne, NSW 2090",All,6,1440972,0.0031,0.006999999999999999,0.0114,0.0249,0.0629,0.1998,0.5751,62,835,0.0,0.0,0.0048,0.0464,0.2575,0.2225,0.2846,0.0301,-0.01,0.07,0.02,0.1,0.0084,2,(+)Increasing,242,0.008199999999999999,-0.1053,-0.1173,-0.2829,-0.0067,-0.0237,0.0546,0,0,0,10,0.45,0.41,0.79,38.04,0.0013,-0.0005,-0.0004,0.34,-0.13,-0.15,10.2,1.38,0.59,0.0023,0,0,37,3.73,6.57,0.0,0.0203,-0.009300000000000001,-0.0006,0.6667000000000001,-0.0284,-0.0298,2,5,0.65,-0.16,6,0.67,-0.1,0,0,High,0.03,0.13,11263,6246,68,275,0,0,80,100,100,100,90,10,93,64,5,Sydney - North Sydney and…,Greater Sydney,NSW,NSW213,Suburbs,3,Units,2_Main Dashboard - HtAG Analytics (3).xlsx
"Bondi Junction, NSW 2022",2,1,1553824,0.0036,0.0092,0.0159,0.0382,0.0759,0.3193,0.6259,27,992,-0.002,-0.004,-0.006,-0.003,0.3009,0.2422,0.441,0.0332,-0.05,0.05,-0.01,0.08,-0.0001,3,(+)Increasing,174,-0.0695,-0.1189,-0.0204,-0.2427,-0.0839,-0.0742,-0.1697,0,0,0,10,0.54,0.4,0.69,47.17,0.0011,-0.001,-0.0006,0.51,-0.48,-0.25,10.28,1.09,1.26,0.0166,0,0,42,2.04,0.74,0.0,0.0143,-0.0069,-0.002,0.75,-0.1004,0.0086,3,5,0.37,0.08,6,0.7,0.0,0,0,High,0.02,0.1,10361,7792,62,1884,0,0,71,100,100,100,68,82,92,81,5,Sydney - Eastern Suburbs,Greater Sydney,NSW,NSW175,Suburbs,3,Units,2_Main Dashboard - HtAG Analytics (3).xlsx
"Bondi Junction, NSW 2022",1,0,829829,0.0012,0.0021,-0.0013,-0.0005,-0.0396,0.0599,0.2978,32,767,0.0013,0.0066,0.0159,0.0295,0.3938,0.2843,0.4092,0.0481,-0.05,0.05,0.0,0.1,0.0002,3,(+)Increasing,174,-0.0695,-0.1189,-0.0204,-0.2427,-0.0839,-0.0742,-0.1697,0,0,0,10,0.54,0.4,0.69,25.19,0.0011,-0.001,-0.0006,0.51,-0.48,-0.25,10.28,1.09,1.26,0.0166,0,0,42,2.04,0.74,0.0,0.0143,-0.0069,-0.002,0.75,-0.1004,0.0086,3,5,0.37,0.08,6,0.7,0.0,0,0,High,0.02,0.1,10361,7792,62,1884,0,0,71,100,100,100,68,82,92,81,5,Sydney - Eastern Suburbs,Greater Sydney,NSW,NSW175,Suburbs,3,Units,2_Main Dashboard - HtAG Analytics (3).xlsx
"Willoughby, NSW 2068",4,0,3841528,0.0025,0.0051,0.0068,0.015,0.04269999999999999,0.4163,0.8382999999999999,3,1642,0.0018,0.008,0.0275,0.0682,0.0858,0.223,0.2822,0.0222,-0.04,0.06,-0.02,0.08,-0.0008,3,(+)Increasing,204,-0.0406,-0.228,-0.0626,-0.4089,0.0154,-0.0024,0.0603,0,0,0,10,0.31,0.32,0.37,98.19,0.0008,-0.0012,-0.001,0.21,-0.24,-0.32,10.72,1.71,-0.63,0.0051,0,0,36,4.36,7.45,0.0,0.0292,-0.0002,-0.0064,0.0,-0.0341,-0.0823,1,4,0.09,-0.23,5,0.26,0.04,0,0,Medium,0.02,0.03,7124,3429,76,409,0,0,81,100,99,100,84,24,92,67,7,Sydney - North Sydney and…,Greater Sydney,NSW,NSW294,Suburbs,2,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Willoughby, NSW 2068",3,0,3017208,0.002,0.0042,0.0049,0.0114,0.0284,0.3157,0.7364,4,1200,0.0,0.0,0.0,0.0292,0.2146,0.2931,0.3986,0.0207,-0.04,0.06,-0.02,0.08,0.0043,3,(+)Increasing,204,-0.0406,-0.228,-0.0626,-0.4089,0.0154,-0.0024,0.0603,0,0,0,10,0.31,0.32,0.37,77.12,0.0008,-0.0012,-0.001,0.21,-0.24,-0.32,10.72,1.71,-0.63,0.0051,0,0,36,4.36,7.45,0.0,0.0292,-0.0002,-0.0064,0.0,-0.0341,-0.0823,1,4,0.09,-0.23,5,0.26,0.04,0,0,Medium,0.02,0.03,7124,3429,76,409,0,0,81,100,99,100,84,24,92,67,7,Sydney - North Sydney and…,Greater Sydney,NSW,NSW294,Suburbs,2,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Thornleigh, NSW 2120",4,0,2020561,0.0023,0.004099999999999999,0.0021,0.0025,0.0406,0.6068,0.758,3,896,0.0,0.0,0.0011,0.0136,0.1472,0.2673,0.2818,0.0231,-0.09,0.11,-0.07,0.13,0.0024,6,(+)Trough,148,-0.09570000000000001,-0.2768,0.0348,-0.5049,-0.0387,0.0725,-0.05599999999999999,0,0,0,10,0.23,0.43,0.1,65.58,0.0014,-0.0004,-0.0002,0.55,-0.07,-0.02,11.91,2.02,-0.58,0.003,0,0,66,10.69,15.81,0.0,0.0186,-0.0054,-0.0004,0.8571,0.0292,0.0236,2,5,0.34,0.08,5,0.23,0.12,0,0,High,0.02,0.03,8898,3918,69,2535,0,0,81,100,99,100,85,22,92,66,20,Sydney - North Sydney and…,Greater Sydney,NSW,NSW234,Suburbs,3,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Thornleigh, NSW 2120",3,1,1740428,0.0019,0.0036,0.0008,-0.0001,0.0277,0.5243,0.6951,5,756,-0.0013,-0.0066,-0.0195,-0.0283,0.1615,0.2377,0.3017,0.0226,-0.09,0.11,-0.07,0.13,0.0015,6,(+)Trough,148,-0.09570000000000001,-0.2768,0.0348,-0.5049,-0.0387,0.0725,-0.05599999999999999,0,0,0,10,0.23,0.43,0.1,56.49,0.0014,-0.0004,-0.0002,0.55,-0.07,-0.02,11.91,2.02,-0.58,0.003,0,0,66,10.69,15.81,0.0,0.0186,-0.0054,-0.0004,0.8571,0.0292,0.0236,2,5,0.34,0.08,5,0.23,0.12,0,0,High,0.02,0.03,8898,3918,69,2535,0,0,81,100,99,100,85,22,92,66,20,Sydney - North Sydney and…,Greater Sydney,NSW,NSW234,Suburbs,3,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Schofields, NSW 2762",4,12,1287504,0.0016,0.0021,-0.0025,0.0102,0.068,0.5692,0.9545999999999999,27,750,-0.0013,-0.0013,-0.0013,0.0218,0.2259,0.3618,0.4572,0.0303,-0.08,0.1,-0.05,0.13,-0.0008,6,(+)Increasing,152,-0.0322,-0.1738,0.09119999999999999,-0.2705,-0.0634,0.0022,0.1196,0,0,0,10,0.31,0.38,0.18,45.37,0.0042,-0.0039,-0.0019,0.67,-0.15,-0.35,6.8,0.12,0.02,0.0732,0,0,38,0.98,4.81,0.0,0.048,0.0037,-0.0033,0.75,-0.005500000000000001,0.09539999999999998,5,5,0.12,0.41,5,0.33,0.0,0,0,High,0.04,0.07,15213,7302,61,930,0,0,71,100,100,100,97,22,92,70,36,Sydney - Blacktown,Greater Sydney,NSW,NSW283,Suburbs,3,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Schofields, NSW 2762",3,0,1289174,0.0016,0.0021,-0.0025,0.0101,0.0679,0.568,0.9521999999999999,12,671,0.0,-0.0015,-0.0059,0.0323,0.2289,0.3474,0.4944,0.0271,-0.08,0.1,-0.05,0.13,0.0061,6,(+)Increasing,152,-0.0322,-0.1738,0.09119999999999999,-0.2705,-0.0634,0.0022,0.1196,0,0,0,10,0.31,0.38,0.18,44.4,0.0042,-0.0039,-0.0019,0.67,-0.15,-0.35,6.8,0.12,0.02,0.0732,0,0,38,0.98,4.81,0.0,0.048,0.0037,-0.0033,0.75,-0.005500000000000001,0.09539999999999998,5,5,0.12,0.41,5,0.33,0.0,0,0,High,0.04,0.07,15213,7302,61,930,0,0,71,100,100,100,97,22,92,70,36,Sydney - Blacktown,Greater Sydney,NSW,NSW283,Suburbs,3,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Mount Annan, NSW 2567",4,0,1124909,0.0032,0.0083,0.0222,0.0556,0.0673,0.513,0.7414000000000001,7,730,0.0014,0.004099999999999999,0.0139,0.0428,0.2647,0.4058,0.439,0.0337,-0.06,0.08,-0.03,0.11,0.0058,4,(+)Decreasing,202,-0.044,-0.135,0.1257,-0.1929,-0.0196,-0.0016,0.0282,0,0,0,8,0.2,0.0,0.01,42.44,0.0013,-0.0005,-0.001,0.43,-0.07,-0.31,10.47,1.51,1.77,0.0028,0,0,44,2.42,3.63,0.0,0.0089,0.0002,-0.0022,0.0,0.0,0.0,1,4,0.09,-0.16,5,0.29,0.0,0,0,High,0.03,0.04,11784,4034,58,259,0,0,80,100,100,100,90,54,92,79,47,Sydney - Outer South West,Greater Sydney,NSW,NSW272,Suburbs,3,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Mount Annan, NSW 2567",3,0,952343,0.0046,0.0153,0.0297,0.0784,0.1321,0.6158,0.8623000000000001,6,608,0.0,0.0016,0.01,0.0411,0.2667,0.3818,0.414,0.0332,-0.06,0.08,-0.03,0.11,0.0037,4,(+)Decreasing,202,-0.044,-0.135,0.1257,-0.1929,-0.0196,-0.0016,0.0282,0,0,0,8,0.2,0.0,0.01,35.93,0.0013,-0.0005,-0.001,0.43,-0.07,-0.31,10.47,1.51,1.77,0.0028,0,0,44,2.42,3.63,0.0,0.0089,0.0002,-0.0022,0.0,0.0,0.0,1,4,0.09,-0.16,5,0.29,0.0,0,0,High,0.03,0.04,11784,4034,58,259,0,0,80,100,100,100,90,54,92,79,47,Sydney - Outer South West,Greater Sydney,NSW,NSW272,Suburbs,3,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Harrington Park, NSW 2567",4,0,1454580,0.0031,0.008100000000000001,0.0166,0.0412,0.0347,0.6002000000000001,1.0659,8,751,0.0,0.0013,0.0054,0.0288,0.1643,0.358,0.4117,0.0268,-0.07,0.09,-0.04,0.11,0.0023,5,(+)Peak,174,-0.0124,-0.2184,0.0444,-0.3963,-0.0244,0.0482,0.1308,0,0,0,10,0.13,0.0,0.0,46.84,0.0024,-0.0004,-0.0009,0.68,0.05,-0.38,8.38,1.03,0.2,0.0072,0,0,75,4.99,8.95,0.0,0.0204,0.0,0.0022,0.0,-0.1063,0.0,1,6,0.48,0.31,5,0.13,0.0,0,0,High,0.04,0.03,13332,4169,58,356,0,0,80,100,100,100,96,25,92,71,47,Sydney - Outer South West,Greater Sydney,NSW,NSW264,Suburbs,3,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Collaroy Plateau, NSW 2097",All,0,2894912,0.0052,0.0158,0.0281,0.057,0.0795,0.4619,1.051,2,1449,0.0062,0.0246,0.0728,0.1373,0.3488,0.4893,0.6778,0.026,-0.06,0.14,-0.04,0.17,0.0371,6,(+)Peak,148,-0.0232,-0.1908,-0.0303,-0.2519,0.1144,0.1308,0.2637,0,0,0,10,0.12,0.0,0.01,84.82,0.0022,-0.0002,-0.0003,0.6,-0.08,-0.06,11.37,1.66,0.06,0.0032,0,0,46,4.33,11.37,0.0,0.0255,-0.0002,0.0092,0.8332999999999999,0.1055,0.0384,6,5,0.38,-0.02,5,0.04,0.12,0,0,Medium,0.04,0.02,4805,1570,66,44,0,0,91,100,100,100,96,64,92,84,17,Sydney - Northern Beaches,Greater Sydney,NSW,NSW329,Suburbs,2,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Bondi Junction, NSW 2022",All,2,1191827,0.0028,0.0067,0.009899999999999999,0.0244,0.0327,0.2158,0.4944,65,1087,0.0,0.0,0.0028,0.0294,0.3639,0.3049,0.4689,0.0474,-0.01,0.08,0.03,0.13,0.0096,3,(+)Increasing,174,-0.0695,-0.1189,-0.0204,-0.2427,-0.0839,-0.0742,-0.1697,0,0,0,10,0.54,0.4,0.69,36.18,0.0011,-0.001,-0.0006,0.51,-0.48,-0.25,10.28,1.09,1.26,0.0166,0,0,42,2.04,0.74,0.0,0.0143,-0.0069,-0.002,0.75,-0.1004,0.0086,3,5,0.37,0.08,6,0.7,0.0,0,0,High,0.02,0.1,10361,7792,62,1884,0,0,71,100,100,100,68,82,92,81,5,Sydney - Eastern Suburbs,Greater Sydney,NSW,NSW175,Suburbs,3,Units,2_Main Dashboard - HtAG Analytics (3).xlsx
"Willoughby, NSW 2068",All,1,3429368,0.0023,0.004699999999999999,0.006,0.0134,0.0363,0.3702,0.7920999999999999,8,1239,0.0016,0.005699999999999999,0.0189,0.0625,0.1664,0.2586,0.2995,0.0188,-0.01,0.09,0.01,0.11,0.0096,3,(+)Increasing,204,-0.0406,-0.228,-0.0626,-0.4089,0.0154,-0.0024,0.0603,0,0,0,10,0.31,0.32,0.37,87.65,0.0008,-0.0012,-0.001,0.21,-0.24,-0.32,10.72,1.71,-0.63,0.0051,0,0,36,4.36,7.45,0.0,0.0292,-0.0002,-0.0064,0.0,-0.0341,-0.0823,1,4,0.09,-0.23,5,0.26,0.04,0,0,Medium,0.02,0.03,7124,3429,76,409,0,0,81,100,99,100,84,24,92,67,7,Sydney - North Sydney and…,Greater Sydney,NSW,NSW294,Suburbs,2,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
"Thornleigh, NSW 2120",All,2,1880495,0.0021,0.0038,0.0015,0.0013,0.0346,0.5675,0.7283,10,743,-0.0013,-0.004,-0.009300000000000001,0.0054,0.1815,0.2534,0.2619,0.0205,-0.06,0.14,-0.04,0.16,0.0034,6,(+)Trough,148,-0.09570000000000001,-0.2768,0.0348,-0.5049,-0.0387,0.0725,-0.05599999999999999,0,0,0,10,0.23,0.43,0.1,61.04,0.0014,-0.0004,-0.0002,0.55,-0.07,-0.02,11.91,2.02,-0.58,0.003,0,0,66,10.69,15.81,0.0,0.0186,-0.0054,-0.0004,0.8571,0.0292,0.0236,2,5,0.34,0.08,5,0.23,0.12,0,0,High,0.02,0.03,8898,3918,69,2535,0,0,81,100,99,100,85,22,92,66,20,Sydney - North Sydney and…,Greater Sydney,NSW,NSW234,Suburbs,3,Houses,2_Main Dashboard - HtAG Analytics (3).xlsx
